#EventID,Time,Latitude,Longitude,Depth/km,Author,Catalog,Contributor,ContributorID,MagType,Magnitude,MagAuthor,EventLocationName,EventType
gfz2021xhpa,28-11-2021 10:52,-4.426,-76.758,101.9,,,GFZ,gfz2021xhpa,Mw,7.42,,Northern Peru,
gfz2021sjuv,19-09-2021 12:23,-3.146,-78.196,56,,,GFZ,gfz2021sjuv,mb,4.54,,Peru-Ecuador Border Region,
gfz2021relz,02-09-2021 08:42,-3.801,-76.277,115.3,,,GFZ,gfz2021relz,mb,4.76,,Northern Peru,
gfz2021ravx,31-08-2021 09:11,-3.145,-78.095,95.4,,,GFZ,gfz2021ravx,mb,4.55,,Peru-Ecuador Border Region,
gfz2021pxix,15-08-2021 05:40,-3.627,-77.076,93.2,,,GFZ,gfz2021pxix,Mw,5.32,,Peru-Ecuador Border Region,
gfz2021nvrp,16-07-2021 20:42,-3.53,-77.482,10,,,GFZ,gfz2021nvrp,mb,5.16,,Peru-Ecuador Border Region,
gfz2021jzda,22-05-2021 19:45,-3.489,-77.415,10,,,GFZ,gfz2021jzda,mb,4.87,,Peru-Ecuador Border Region,
gfz2021irit,04-05-2021 08:01,-4.688,-76.471,102.8,,,GFZ,gfz2021irit,mb,4.48,,Northern Peru,
gfz2021higs,15-04-2021 03:13,-2.914,-75.655,139.4,,,GFZ,gfz2021higs,mb,4.59,,Peru-Ecuador Border Region,
gfz2021ctjy,09-02-2021 01:41,-5.404,-77.192,48.5,,,GFZ,gfz2021ctjy,mb,5.02,,Northern Peru,
gfz2021cjet,03-02-2021 11:41,-3.049,-77.652,39,,,GFZ,gfz2021cjet,mb,4.85,,Peru-Ecuador Border Region,
gfz2021amuh,07-01-2021 23:52,-4.492,-75.418,46.5,,,GFZ,gfz2021amuh,mb,4.45,,Northern Peru,
gfz2020zbgk,22-12-2020 10:46,-3.777,-77.662,67,,,GFZ,gfz2020zbgk,mb,4.49,,Peru-Ecuador Border Region,
gfz2020wgaf,12-11-2020 08:43,-4.684,-77.237,119.2,,,GFZ,gfz2020wgaf,mb,4.25,,Northern Peru,
gfz2020vywg,08-11-2020 10:46,-5.65,-76.424,39,,,GFZ,gfz2020vywg,mb,4.64,,Northern Peru,
gfz2020swte,25-09-2020 14:19,-2.755,-76.667,126.7,,,GFZ,gfz2020swte,mb,4.45,,Peru-Ecuador Border Region,
gfz2020ldmh,07-06-2020 10:31,-3.976,-76.967,99.3,,,GFZ,gfz2020ldmh,Mw,5.34,,Northern Peru,
gfz2020jcas,09-05-2020 04:27,-5.757,-76.431,44.3,,,GFZ,gfz2020jcas,mb,4.53,,Northern Peru,
gfz2020iycn,07-05-2020 00:49,-5.682,-76.597,34.7,,,GFZ,gfz2020iycn,Mw,5.28,,Northern Peru,
gfz2020ijzk,29-04-2020 07:20,-2.628,-77.385,10,,,GFZ,gfz2020ijzk,mb,4.47,,Peru-Ecuador Border Region,
gfz2020cmoj,05-02-2020 07:57,-4.402,-77.56,56.7,,,GFZ,gfz2020cmoj,mb,4.87,,Northern Peru,
gfz2020ccrl,30-01-2020 22:10,-3.668,-75.284,10,,,GFZ,gfz2020ccrl,mb,4.93,,Northern Peru,
gfz2019sdvm,16-09-2019 05:54,-3.993,-76.236,94.3,,,GFZ,gfz2019sdvm,mb,4.61,,Northern Peru,
gfz2019lynq,19-06-2019 23:03,-3.89,-75.946,121.2,,,GFZ,gfz2019lynq,mb,4.97,,Northern Peru,
